,Country,log GDP per capita
107,Honduras,7.833178494419565
108,Nepal,6.5856717798130235
109,Trinidad and Tobago,9.6447930169576
110,Zambia,7.094687448333775
111,Cyprus,10.066006482033902
112,Iceland,10.982297213908058
113,Afghanistan,6.498787540322771
114,Cambodia,7.0406519524485685
115,Bosnia and Herzegovina,8.3981038198458
116,Papua New Guinea,7.651576750505349
117,Laos,7.769321111167046
118,Zimbabwe,6.898423951553252
119,Senegal,6.890570454228036
120,Botswana,8.804875263868018
121,Georgia,8.23308894031234
122,Gabon,8.998691200087707
123,Jamaica,8.517193191416238
124,Mali,6.656996560634954
125,Nicaragua,7.627404400287589
126,Mauritius,9.161550207806751
127,Albania,8.334871634622283
128,Burkina Faso,6.4466452474620795
129,Brunei,10.173151119485231
130,Armenia,8.207038263112398
131,Mozambique,5.944234040130197
132,Mongolia,8.167817549959116
133,Malta,10.126631103850338
134,Macedonia,8.57810194450323
135,Madagascar,5.995874255596682
136,Namibia,8.377431249041079
137,New Caledonia,10.48330604778907
138,Chad,6.539645957417742
139,Equatorial Guinea,9.372859301473957
140,Benin,6.689959333994523
141,Bahamas,10.072563882580061
142,South Sudan,6.601087906619275
143,Haiti,6.597517020816993
144,Niger,5.958513446968296
145,Palestine,7.416499736544304
146,Rwanda,6.565940197950429
147,Republic of the Congo,7.3520911614792945
148,Liechtenstein,12.072541252905651
149,Moldova,7.586717824550126
150,Kyrgyzstan,7.038840685878399
151,Kosovo,8.282685881451712
152,Tajikistan,6.6903424023769125
153,Somalia,6.037857586677693
154,Monaco,11.918390573078392
155,Guinea,6.181818275599201
156,Fiji,8.622553707074063
157,Mauritania,7.05857816871672
158,Malawi,5.621833892009033
159,Maldives,9.161550207806751
160,Montenegro,8.772085441045027
161,Eritrea,6.639638362025196
162,Sierra Leone,6.292569639891903
163,Suriname,8.910235779525845
164,Swaziland,8.016417903503749
165,Togo,6.264586468228433
166,Guyana,8.307472660434168
167,Cayman Islands,10.819778284410283
168,Burundi,5.654992310486769
169,Cape Verde,8.254828926948747
170,Central African Republic,6.011667254425501
171,Bhutan,7.86226722367649
172,Djibouti,7.66277786326017
173,Lesotho,6.812445099177812
174,Liberia,6.074846156047033
175,Seychelles,9.315700887634009
176,East Timor,6.668738378511637
177,Guinea Bissau,6.3089187778934335
178,Gambia,6.194805471126012
179,Comoros,7.143477612503207
180,Sao Tome and Principe,-inf
